app_name,app_name_full,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,apk_format,file_size,detail_page_size,detail_page_downloads,detail_page_security_ratio,detail_page_top_content_rating,detail_page_top_update_date,detail_page_android_os,detail_page_download_format,additional_app_latest_version,uploaded_by,requires_android,available_on,additional_app_category,content_rating,security_report_label,security_scan_result,security_scan_date,security_check_completed,same_as_package_name,sha256,verified_by,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,detail_page_version,detail_page_update_date,version_history_source,version_history_source_url,detail_source_url,detail_url_source_method,detail_url_version_slug,detail_url_matches_displayed_version,source_note
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.407.1,"Apr 28, 2026",True,"May 30, 2013",XAPK,289.1 MB,223.5 MB,1K+,,,"Feb 19, 2026",,APK,Trusted App,Grab Holdings,"Android 7.0+ (N, API 24)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Why Grab - Taxi & Food Delivery 5.397.200 Is Popular Grab - Taxi & Food Delivery 5.397.200 has been downloaded often in recent weeks and has received many positive reviews. The features are much the same as in newer versions, but long‑time users often prefer this one. Compared with other releases from the same period, it has been praised for steady performance. It has been used for a long time without any major problems, so you can install it with confidence. 5 MB. We recommend you","Why Grab - Taxi & Food Delivery 5.397.200 Is Popular Grab - Taxi & Food Delivery 5.397.200 has been downloaded often in recent weeks and has received many positive reviews. The features are much the same as in newer versions, but long‑time users often prefer this one. Compared with other releases from the same period, it has been praised for steady performance. It has been used for a long time without any major problems, so you can install it with confidence. Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Grab - Taxi & Food Delivery old version 5.397.200 was released on Feb 19, 2026 by Grab Holdings. The app download size is 223.5 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Why Grab - Taxi & Food Delivery 5.397.200 Is Popular Grab - Taxi & Food Delivery 5.397.200 has been downloaded often in recent weeks and has received many positive reviews. The features are much the same as in newer versions, but long‑time users ofte",version_specific_or_actionable,True,5.397.200,"Feb 19, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.397.200,actual_href_from_versions_page,5.397.200,False,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href. Warning: displayed version 5.407.1 differs from detail URL slug 5.397.200. Detail page version 5.397.200 does not match displayed version 5.407.1.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.407.1,"Apr 28, 2026",True,"May 30, 2013",XAPK,289.1 MB,289.1 MB,1K+,,,"Apr 28, 2026",,XAPK,Trusted App,Shimaa Ahmed,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.407.1 was released on Apr 28, 2026 by Grab Holdings. 1 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.407.1 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.407.1 was released on Apr 28, 2026 by Grab Holdings. The app download size is 289.1 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.407.1 was released on Apr 28, 2026 by Grab Holdings. 1 MB. We recommend you",version_specific_or_actionable,True,5.407.1,"Apr 28, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.407.1,actual_href_from_versions_page,5.407.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.407.0,"Apr 24, 2026",False,"May 30, 2013",XAPK,302.6 MB,302.6 MB,1K+,,,"Apr 24, 2026",,XAPK,Trusted App,Ĵøe Søe,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.407.0 was released on Apr 24, 2026 by Grab Holdings. 6 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.407.0 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.407.0 was released on Apr 24, 2026 by Grab Holdings. The app download size is 302.6 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.407.0 was released on Apr 24, 2026 by Grab Holdings. 6 MB. We recommend you",version_specific_or_actionable,True,5.407.0,"Apr 24, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.407.0,actual_href_from_versions_page,5.407.0,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.406.201,"Apr 22, 2026",False,"May 30, 2013",APK,233.3 MB,233.3 MB,1K+,,,"Apr 22, 2026",,APK,Trusted App,Grab Holdings,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,3 MB. We recommend you,"Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Grab - Taxi & Food Delivery old version 5.406.201 was released on Apr 22, 2026 by Grab Holdings. The app download size is 233.3 MB. We recommend you",UI / design changes; Payments / monetization; Mobility / delivery service changes; New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,5.406.201,"Apr 22, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.406.201,actual_href_from_versions_page,5.406.201,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.406.1,"Apr 18, 2026",False,"May 30, 2013",XAPK,288.2 MB,288.2 MB,1K+,,,"Apr 18, 2026",,XAPK,Trusted App,Sebas FerBust,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.406.1 was released on Apr 18, 2026 by Grab Holdings. 2 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.406.1 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.406.1 was released on Apr 18, 2026 by Grab Holdings. The app download size is 288.2 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.406.1 was released on Apr 18, 2026 by Grab Holdings. 2 MB. We recommend you",version_specific_or_actionable,True,5.406.1,"Apr 18, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.406.1,actual_href_from_versions_page,5.406.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.405.200,"Apr 16, 2026",False,"May 30, 2013",APK,233.0 MB,233.0 MB,1K+,,,"Apr 16, 2026",,APK,Trusted App,Grab Holdings,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,0 MB. We recommend you,"Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Grab - Taxi & Food Delivery old version 5.405.200 was released on Apr 16, 2026 by Grab Holdings. The app download size is 233.0 MB. We recommend you",UI / design changes; Payments / monetization; Mobility / delivery service changes; New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,5.405.200,"Apr 16, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.405.200,actual_href_from_versions_page,5.405.200,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.405.0,"Apr 12, 2026",False,"May 30, 2013",XAPK,287.3 MB,287.3 MB,1K+,,,"Apr 12, 2026",,XAPK,Trusted App,Sebas FerBust,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.405.0 was released on Apr 12, 2026 by Grab Holdings. 3 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.405.0 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.405.0 was released on Apr 12, 2026 by Grab Holdings. The app download size is 287.3 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.405.0 was released on Apr 12, 2026 by Grab Holdings. 3 MB. We recommend you",version_specific_or_actionable,True,5.405.0,"Apr 12, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.405.0,actual_href_from_versions_page,5.405.0,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.404.201,"Apr 10, 2026",False,"May 30, 2013",APK,232.2 MB,232.2 MB,1K+,,,"Apr 10, 2026",,APK,Trusted App,Grab Holdings,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,2 MB. We recommend you,"Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Grab - Taxi & Food Delivery old version 5.404.201 was released on Apr 10, 2026 by Grab Holdings. The app download size is 232.2 MB. We recommend you",UI / design changes; Payments / monetization; Mobility / delivery service changes; New product feature,"APKPure provides generic app or rollback text, but no clear version-specific reason for this update.",generic,False,5.404.201,"Apr 10, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.404.201,actual_href_from_versions_page,5.404.201,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.404.1,"Apr 6, 2026",False,"May 30, 2013",XAPK,271.1 MB,271.1 MB,1K+,,,"Apr 6, 2026",,XAPK,Trusted App,Sebas FerBust,"Android 6.0+ (M, API 23)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.404.1 was released on Apr 6, 2026 by Grab Holdings. 1 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.404.1 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.404.1 was released on Apr 6, 2026 by Grab Holdings. The app download size is 271.1 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.404.1 was released on Apr 6, 2026 by Grab Holdings. 1 MB. We recommend you",version_specific_or_actionable,True,5.404.1,"Apr 6, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.404.1,actual_href_from_versions_page,5.404.1,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.403.0,"Mar 26, 2026",False,"May 30, 2013",XAPK,294.2 MB,294.2 MB,1K+,,,"Mar 26, 2026",,XAPK,Trusted App,Su Myat Min Htun,"Android 7.0+ (N, API 24)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.403.0 was released on Mar 26, 2026 by Grab Holdings. 2 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.403.0 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.403.0 was released on Mar 26, 2026 by Grab Holdings. The app download size is 294.2 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.403.0 was released on Mar 26, 2026 by Grab Holdings. 2 MB. We recommend you",version_specific_or_actionable,True,5.403.0,"Mar 26, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.403.0,actual_href_from_versions_page,5.403.0,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
Grab,Grab Taxi & Food Delivery,Android,Grab Holdings,Travel & Local,5.402.0,"Mar 22, 2026",False,"May 30, 2013",XAPK,138.2 MB,138.2 MB,1K+,,,"Mar 22, 2026",,XAPK,Trusted App,Grab Holdings,"Android 7.0+ (N, API 24)",,,,Grab - Taxi & Food Delivery,,,True,,,APKPURE,"Grab - Taxi & Food Delivery old version 5.402.0 was released on Mar 22, 2026 by Grab Holdings. 2 MB. We recommend you","Grab is a superapp that helps you book rides, order food and groceries, send parcels, and pay cashless across Southeast Asia. Download and install old versions of Grab - Taxi & Food Delivery that suits your device model and enjoy your favorite features! Some say bugs are the future of food: They are rich in protein and can be sustainably produced for mass consumption. In fact, some 2 billion humans on the planet eat bugs as part of their diet. But when the bug is in an app, we won't want you to eat it. And we certainly won't try to make more of it. Update your Grab to 5.402.0 to get rid of bugs from your everyday app experience. Grab - Taxi & Food Delivery old version 5.402.0 was released on Mar 22, 2026 by Grab Holdings. The app download size is 138.2 MB. We recommend you",Bug fixes / performance improvements; UI / design changes; AI-related features; Payments / monetization; Mobility / delivery service changes; New product feature,"Version-specific note suggests: Grab - Taxi & Food Delivery old version 5.402.0 was released on Mar 22, 2026 by Grab Holdings. 2 MB. We recommend you",version_specific_or_actionable,True,5.402.0,"Mar 22, 2026",APKPure,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/versions,https://apkpure.com/grab-taxi-food-delivery/com.grabtaxi.passenger/download/5.402.0,actual_href_from_versions_page,5.402.0,True,APKPure version/date/size; not official Google Play historical release data. Detail URL was read from APKPure page href.
